cat,F0,F1,F2,F3,F4,F5,F6,F7,F8,Sx,Sy,Sz
general_aleatoire,-0.501839638,1.18617177,1.80285716,-1.26626086,0.927975655,1.11876392,0.39463377,0.387400627,-1.37592554,3.03541803,1.06562281,-0.68920207
general_aleatoire,-0.216669083,-1.3760221,-1.60010052,-1.76766562,-0.163004637,1.46470451,-0.665165663,0.404459953,-1.42853284,2.73543429,1.86552036,1.21706522
general_aleatoire,0.832290173,0.603553772,-1.91766214,-1.77435374,1.87963939,0.887995005,1.32977033,1.75421071,-1.15064359,3.24933505,2.67172337,0.823141932
general_aleatoire,-1.99688506,-1.27270031,1.96884608,-1.26638198,0.46992588,-0.783031225,0.446612597,0.0990257263,-1.971735,3.51926565,1.74948823,0.756592214
general_aleatoire,-0.272220135,-1.90775037,-0.835083485,0.099098444,0.447411537,-0.400556326,-1.44202471,-1.81333756,-0.831421614,3.15067887,0.784855127,-0.545469403
general_aleatoire,1.89502192,-0.534552813,-1.06891465,-0.175720215,-1.63757443,1.14070368,0.473543882,-1.20130491,-0.47015214,2.455019,2.14980364,0.522313714
general_aleatoire,0.0569376945,1.93292332,0.369658232,-0.132948637,-1.81419849,1.4397614,0.430179358,0.72123003,-1.31790352,3.03542185,1.55660522,0.251547545
general_aleatoire,-0.198003054,-1.73979378,-1.94694018,1.795542,1.76880693,1.86252809,0.253152847,1.23358917,-0.458334208,3.98715377,1.21841085,-1.04513252
general_aleatoire,-0.781544924,-1.93613505,-1.60931158,-1.07642484,0.736932039,-1.03589821,-0.239390135,0.733053923,-1.51184726,2.81237721,2.05737591,0.679893196
general_aleatoire,0.439986467,-0.019292593,1.33277965,-1.86244607,-1.30654144,1.63728142,-0.435757637,-0.964880228,-1.2710557,2.86396408,2.01716065,0.54031688
general_aleatoire,0.650089025,1.02144551,-0.753155708,-0.299376726,0.0802719593,-1.16823339,0.186841011,0.270801306,-1.26058221,2.03178167,1.01299882,-0.192500308
general_aleatoire,-1.87474704,1.87833834,1.36913896,1.1005311,-0.200983524,1.75799561,-0.419399261,1.57930923,1.70663524,3.70862103,2.22206807,0.388261378
general_aleatoire,0.391599894,0.909087896,1.6874969,-0.693836927,-1.64603019,0.281775713,-1.21606874,0.0833368301,-1.81909108,2.83326387,1.82586086,-0.728949904
