density,alpha,diverged,diverge_frame,exited_water,exited_frame,eq_frac,archimede_frac,amp_frac,amp_trend
2000.0,0.00,0,-1,1,18,0.0000,1.0000,0.0000,-1.0000
2000.0,0.25,0,-1,1,11,0.0000,1.0000,0.0000,-1.0000
2000.0,0.50,0,-1,1,10,0.0000,1.0000,0.0000,-1.0000
2000.0,1.00,0,-1,1,9,0.0000,1.0000,0.0000,-1.0000
1000.0,0.00,0,-1,1,59,0.0000,1.0000,0.0000,-1.0000
1000.0,0.25,0,-1,1,12,0.0000,1.0000,0.0000,-1.0000
1000.0,0.50,0,-1,1,10,0.0000,1.0000,0.0000,-1.0000
1000.0,1.00,0,-1,1,9,0.0000,1.0000,0.0000,-1.0000
500.0,0.00,0,-1,0,-1,1.0000,0.5000,0.0000,-1.0000
500.0,0.25,0,-1,1,14,0.0000,0.5000,0.0000,-1.0000
500.0,0.50,0,-1,1,11,0.0000,0.5000,0.0000,-1.0000
500.0,1.00,0,-1,1,10,0.0000,0.5000,0.0000,-1.0000
200.0,0.00,0,-1,0,-1,1.0000,0.2000,0.0000,-1.0000
200.0,0.25,0,-1,1,16,0.0000,0.2000,0.0000,-1.0000
200.0,0.50,0,-1,1,12,0.0000,0.2000,0.0000,-1.0000
200.0,1.00,0,-1,1,10,0.0000,0.2000,0.0000,-1.0000
100.0,0.00,1,12,0,-1,0.0000,0.1000,0.0000,-1.0000
100.0,0.25,0,-1,1,15,0.0000,0.1000,0.0000,-1.0000
100.0,0.50,0,-1,1,11,0.0000,0.1000,0.0000,-1.0000
100.0,1.00,0,-1,1,10,0.0000,0.1000,0.0000,-1.0000
50.0,0.00,1,12,0,-1,0.0000,0.0500,0.0000,-1.0000
50.0,0.25,0,-1,1,15,0.0000,0.0500,0.0000,-1.0000
50.0,0.50,0,-1,1,11,0.0000,0.0500,0.0000,-1.0000
50.0,1.00,0,-1,1,10,0.0000,0.0500,0.0000,-1.0000
20.0,0.00,1,6,0,-1,0.0000,0.0200,0.0000,-1.0000
20.0,0.25,0,-1,1,21,0.0000,0.0200,0.0000,-1.0000
20.0,0.50,0,-1,1,12,0.0000,0.0200,0.0000,-1.0000
20.0,1.00,0,-1,1,10,0.0000,0.0200,0.0000,-1.0000
